Group,CALCA,SLC2A3
nCM,7.741521749,7.138066514
nCM,7.225462664,6.958234367
nCM,3.609583729,6.669919696
nCM,6.896466985,7.225462664
nCM,6.669919696,7.027383859
nCM,6.770987376,6.587653114
nCM,6.958234367,6.770987376
nCM,6.85058447,6.85058447
nCM,6.088406277,7.077109672
nCM,7.027383859,7.191871351
nCM,7.267574788,6.088406277
nCM,7.45446007,6.263900089
nCM,7.664461748,5.725209121
CM,6.263900089,6.896466985
CM,6.462395419,7.310683427
CM,6.587653114,7.267574788
CM,7.59627125,6.462395419
nCM,3.047869568,3.173883709
nCM,3.0199089,3.047869568
nCM,3.162818834,3.0199089
nCM,2.954700888,3.311906666
nCM,2.803346472,3.098018646
CM,3.116464208,3.079725871
nCM,3.334993043,2.954700888
CM,3.009981347,3.458534261
nCM,3.087967915,3.391624928
nCM,2.945016611,3.039271215
nCM,3.055181907,3.071690095
nCM,2.826893217,3.162818834
nCM,3.173883709,3.116464208
CM,3.079725871,3.481484768
CM,2.891040103,3.030147015
CM,2.91268352,3.150158291
CM,2.974315503,3.562458224
CM,3.030147015,3.585871812
CM,3.098018646,3.434214661
nCM,3.19692107,3.672615329
CM,3.039271215,3.497766655
nCM,3.071690095,2.966354964
CM,3.062354939,3.519171044
nCM,2.680289078,3.362066631
CM,2.985266985,3.609583729
nCM,2.86750585,3.418913901
CM,3.140250558,3.334993043
nCM,2.999398894,3.542122107
nCM,3.107546696,3.542122107
CM,2.966354964,3.107546696
CM,2.85124491,3.055181907
CM,3.150158291,3.127059133
CM,3.127059133,3.19692107
CM,2.929910736,3.140250558
CM,3.311906666,2.891040103
CM,3.391624928,3.087967915
CM,2.753481709,2.999398894
CM,3.434214661,2.85124491
CM,3.418913901,2.974315503
CM,5.725209121,2.680289078
nCM,3.534887041,2.91268352
nCM,3.458534261,2.945016611
nCM,3.549357172,3.062354939
nCM,3.497766655,3.009981347
nCM,3.481484768,2.86750585
nCM,3.585871812,2.826893217
nCM,3.362066631,2.985266985
nCM,3.562458224,2.803346472
nCM,3.672615329,2.753481709
nCM,3.519171044,2.929910736
CM,7.893902103,8.874911742
CM,7.771274038,8.582831977
CM,7.882452555,8.522259932
CM,9.700756412,7.50463662
CM,8.147059577,9.315691797
CM,7.384166616,8.340115956
CM,8.326878587,7.477285517
CM,8.272382603,8.432661687
CM,8.222044584,7.575337072
CM,7.760233992,8.783974456
CM,8.747375146,7.893902103
CM,8.239285297,8.403376998
CM,9.416470186,7.760233992
CM,8.638384009,7.771274038
CM,8.003967717,8.454223419
CM,7.833171298,8.147059577
CM,7.805078639,8.656833461
CM,8.874911742,7.59627125
CM,8.073632752,8.638384009
CM,7.50463662,9.465003928
CM,7.867537648,7.958697576
CM,8.552720541,8.169742978
CM,8.312713106,7.45446007
CM,8.163004287,7.786181593
CM,7.613052909,7.990177617
CM,8.086869461,9.416470186
CM,8.25911058,9.071063019
CM,8.019425031,8.35498296
CM,8.340115956,7.833171298
CM,8.04639093,7.947862935
CM,7.644382953,8.747375146
CM,8.061307798,7.613052909
CM,8.176481669,7.893902103
CM,8.783974456,7.726818671
CM,7.958697576,9.001313027
CM,9.049153004,7.85214137
CM,8.191930996,8.093430953
CM,8.930745903,8.003967717
CM,7.191871351,8.372400643
CM,8.099992445,9.817612404
CM,7.310683427,10.03524489
CM,8.614745704,7.935992076
CM,7.533635355,9.539497346
CM,7.676376042,8.614745704
CM,7.405043561,8.093430953
CM,7.138066514,8.494324124
CM,7.556857917,8.199399433
CM,7.69337339,10.26603666
CM,7.786181593,8.169742978
CM,7.477285517,8.061307798
CM,7.629044783,9.128402222
CM,7.575337072,9.609991437
CM,7.726818671,8.685269104
CM,7.816730062,8.582831977
CM,8.301069303,7.805078639
CM,7.925443314,8.312713106
CM,9.210233263,7.405043561
CM,9.609991437,7.676376042
CM,8.393818508,8.199399433
CM,7.947862935,8.129991896
CM,8.129991896,8.272382603
CM,7.077109672,9.071063019
CM,7.974649907,7.974649907
CM,9.243141265,8.239285297
CM,8.286803033,8.222044584
CM,7.428606263,8.506999962
CM,7.90263332,8.25911058
CM,8.474647065,7.867537648
CM,8.494324124,8.03068305
CM,7.707080729,9.700756412
CM,8.685269104,8.293936168
CM,8.412935488,7.816730062
CM,8.35498296,8.403376998
CM,8.571924515,9.210233263
CM,10.03524489,7.556857917
CM,8.372400643,8.326878587
CM,9.315691797,7.707080729
CM,8.432661687,7.893902103
CM,8.506999962,8.11559798
CM,8.20686787,8.552720541
CM,9.465003928,7.629044783
CM,8.11559798,8.474647065
CM,7.935992076,7.533635355
CM,8.707755833,7.925443314
CM,7.85214137,9.243141265
CM,9.128402222,8.930745903
CM,10.26603666,7.741521749
CM,9.539497346,7.664461748
CM,8.454223419,7.384166616
CM,7.911671268,7.428606263
CM,7.990177617,8.293936168
CM,8.522259932,7.911671268
CM,9.817612404,7.644382953
CM,8.03068305,8.03068305
CM,9.001313027,8.707755833
CM,9.092973035,8.03068305
CM,8.59373944,7.69337339
CM,8.656833461,8.073632752
