Group,ANGPT2,CA4,CALCA,PADI4,SLC2A3
CM,5.668459006,7.179013171,6.25323097,10.54136064,11.2157763
CM,5.691458139,8.36443859,6.151798823,11.47514913,12.44759634
CM,5.661315608,8.959882833,6.219661945,11.45524789,12.47883964
CM,5.702694234,7.240787553,5.942959276,10.09201313,10.67564057
CM,5.637977562,7.857740308,5.964994456,10.62798006,11.62752984
CM,5.706896384,9.615533752,6.124200497,10.94720094,12.84741285
CM,5.542974008,8.836077474,6.162744221,10.87479413,13.10942169
CM,5.586421703,8.951518197,6.231928049,10.60258078,12.41041673
CM,5.626530995,7.882869469,6.168048572,10.16842265,12.5857817
CM,5.75415754,8.6874386,6.182659793,11.56402317,12.65175519
CM,5.804819269,9.607212438,6.138013135,11.65461363,13.14479549
CM,5.481427651,8.998690322,6.307176483,9.841405488,11.86154409
CM,5.660909393,9.000866056,6.11305178,10.40041041,11.44319299
CM,5.647825957,7.07544805,5.842174074,9.435742302,10.93568101
CM,5.740518012,8.182024665,6.310988759,10.33980723,11.52370517
CM,5.864582308,9.284613111,6.287324398,10.89728416,11.78898006
CM,5.7589651,8.343494907,6.017453677,10.06296755,11.61522543
HC,5.693815232,6.752845068,6.234447049,9.555406667,11.04534121
HC,5.617388733,7.403169659,6.136123393,10.51230317,11.70422066
HC,5.69362969,6.550138728,5.967282456,9.19596292,10.71624009
HC,5.544123435,7.045220534,6.315030268,9.318803889,10.77885625
HC,5.504670291,7.292763429,6.089673166,10.68427535,11.2945574
HC,5.680472547,7.102368939,6.180278356,9.338178499,11.29992314
HC,5.893278362,6.700011691,6.109233028,9.848270758,10.63448793
HC,5.576974549,6.326922558,6.129092385,7.962058809,10.00302547
HC,5.83291455,6.549310067,5.841799546,8.098842039,9.779740619
HC,5.485715314,6.975138485,5.925731803,9.857665833,11.0306563
HC,5.711353035,6.923642697,5.86910888,9.387856643,10.56156127
HC,5.53687886,6.774375044,6.086270682,9.128100761,10.50071899
nCM,5.499983048,7.475936962,6.175121882,9.329440719,11.68209271
nCM,5.574244709,7.661792256,6.16148579,10.1893583,10.75215178
nCM,5.620264407,7.001579733,6.397845823,9.560302525,10.64542065
nCM,5.639760264,7.818852272,6.063906608,10.46253898,11.79189617
nCM,5.607088666,8.525098882,5.720520811,10.03058123,11.35877398
nCM,5.42965787,8.156237399,6.80773119,10.51435086,10.33240346
nCM,5.654230749,8.137286754,6.225924507,10.21613014,12.03425528
nCM,5.657612525,7.314999866,6.05304099,9.528124746,10.71453662
nCM,5.589587132,8.118908119,6.179552959,9.628884561,11.17204405
nCM,5.897671829,7.828572296,5.755216071,10.52990532,11.64388073
nCM,5.466758099,7.860427031,6.41253402,10.05992756,11.48691563
nCM,5.657258894,9.625187151,6.52118504,12.03425528,13.29518499
nCM,5.685354684,7.581688267,6.195729807,8.590214562,10.39855193
nCM,5.855240718,8.174760115,5.652305563,10.43536896,11.97650261
nCM,5.651678761,8.990833084,5.90785991,10.86617707,12.22056763
nCM,5.6460736,9.793974386,6.144999416,10.58096251,12.79828433
nCM,5.763019239,9.181554152,6.25268209,10.76359591,12.79828433
